,RIFUSDT,KASUSDT,Spread,Z-Score
0,0.1462,0.04907,0.008804000000000006,
1,0.1482,0.04972,0.00898400000000002,
2,0.1485,0.04955,0.009760000000000019,
3,0.1496,0.04997,0.009684000000000026,
4,0.1469,0.04934,0.008748000000000006,
5,0.1502,0.04973,0.010955999999999994,
6,0.1471,0.04912,0.009564000000000017,
7,0.1484,0.0487,0.012040000000000023,
8,0.1477,0.04964,0.008708000000000021,
9,0.1476,0.04965,0.008580000000000032,
10,0.1457,0.05072,0.003683999999999993,
11,0.146,0.0504,0.0048799999999999955,
12,0.1454,0.0509,0.0028800000000000214,
13,0.1443,0.05078,0.0021160000000000345,
14,0.1449,0.0505,0.003500000000000003,
15,0.1452,0.05113,0.00203600000000001,
16,0.1485,0.05084,0.006147999999999987,
17,0.147,0.05086,0.004591999999999985,
18,0.1442,0.05136,0.00039200000000000346,
19,0.1456,0.05195,0.00014000000000000123,
20,0.1427,0.05175,-0.0021999999999999797,
21,0.1444,0.0515,0.00020000000000000573,
22,0.1467,0.05085,0.004320000000000018,
23,0.1471,0.05063,0.005336000000000007,
24,0.1542,0.0508,0.011960000000000026,
25,0.1556,0.05276,0.00787199999999999,
26,0.1572,0.0529,0.009080000000000005,
27,0.1563,0.05251,0.009272000000000002,
28,0.1561,0.05212,0.010164000000000006,
29,0.1572,0.05192,0.011824000000000001,
30,0.1541,0.05183,0.008975999999999984,
31,0.1556,0.0521,0.009720000000000006,
32,0.1561,0.05126,0.012572,
33,0.159,0.05007,0.018804000000000015,
34,0.1605,0.05016,0.020052000000000014,
35,0.162,0.05052,0.020544000000000007,
36,0.1631,0.05004,0.02298800000000001,
37,0.1597,0.04971,0.02051200000000003,
38,0.1575,0.05002,0.017444000000000015,
39,0.1558,0.04963,0.01683599999999999,
40,0.1551,0.04988,0.015436000000000005,
41,0.1569,0.05064,0.015108000000000038,
42,0.1615,0.05054,0.019988000000000006,
43,0.1693,0.05031,0.028432000000000013,
44,0.1627,0.04999,0.022728000000000026,
45,0.1564,0.05006,0.016232000000000024,
46,0.1663,0.04979,0.026888000000000023,
47,0.1543,0.05038,0.013235999999999998,
48,0.1543,0.04982,0.014803999999999984,
49,0.1448,0.05007,0.004604000000000025,
50,0.1462,0.04893,0.00919600000000001,
51,0.179,0.04863,0.04283600000000001,
52,0.1622,0.04913,0.02463600000000002,
53,0.1825,0.04988,0.04283600000000001,
54,0.1606,0.04987,0.02096400000000001,
55,0.1727,0.05012,0.032364000000000004,
56,0.1633,0.04982,0.023803999999999992,
57,0.1602,0.05027,0.019444000000000017,
58,0.1598,0.05071,0.017812000000000022,
59,0.1649,0.05092,0.02232400000000001,0.9456894428316941
60,0.165,0.05077,0.022844000000000003,0.9694437267296709
61,0.1645,0.04972,0.02528400000000003,1.182250166637844
62,0.1603,0.04984,0.02074799999999999,0.6955989679075438
63,0.1643,0.04968,0.025195999999999996,1.114515621094167
64,0.1593,0.05,0.01930000000000001,0.49843103043499243
65,0.1569,0.04943,0.018496000000000012,0.4038695827338726
66,0.1617,0.04942,0.02332400000000001,0.8669781085164386
67,0.1617,0.04896,0.024612000000000023,0.9686951001637792
68,0.1466,0.04871,0.010211999999999999,-0.4792331859775364
69,0.1438,0.04914,0.006208000000000019,-0.8748641338449531
