Instrument-1,Instrument-2,p-value,t-value,critical value,hedge_ratio,Zero_crossings
PERPUSDT,CELOUSDT,0.01,-4.08,-3.34,0.18,24
WAVESUSDT,BIGTIMEUSDT,0.01,-4.05,-3.34,27.95,24
PERPUSDT,ENJUSDT,0.0,-4.28,-3.34,0.21,24
TRBUSDT,KNCUSDT,0.0,-4.21,-3.34,10.41,24
PERPUSDT,MKRUSDT,0.01,-4.0,-3.34,0.0,24
TRXUSDT,HOOKUSDT,0.03,-3.57,-3.34,0.04,23
XTZUSDT,ONEUSDT,0.02,-3.64,-3.34,7.94,23
STRAXUSDT,ENSUSDT,0.02,-3.64,-3.34,0.02,23
TIAUSDT,ILVUSDT,0.0,-4.82,-3.34,0.01,23
THETAUSDT,CEEKUSDT,0.05,-3.37,-3.34,33.02,23
USDCUSDT,LRCUSDT,0.01,-4.07,-3.34,0.44,23
THETAUSDT,CTSIUSDT,0.03,-3.52,-3.34,20.84,23
10000STARLUSDT,BAKEUSDT,0.0,-6.11,-3.34,0.06,23
PHBUSDT,WAXPUSDT,0.01,-3.84,-3.34,10.64,23
TRXUSDT,BTCUSDT,0.03,-3.53,-3.34,0.0,23
WAVESUSDT,10000LADYSUSDT,0.0,-4.16,-3.34,27748.36,23
XEMUSDT,1000BONKUSDT,0.04,-3.4,-3.34,128.27,23
WAVESUSDT,ARPAUSDT,0.0,-4.91,-3.34,342.41,23
AKROUSDT,10000LADYSUSDT,0.01,-3.82,-3.34,8.49,23
TIAUSDT,MKRUSDT,0.0,-4.83,-3.34,0.01,23
PERPUSDT,API3USDT,0.01,-3.84,-3.34,0.13,23
TRXUSDT,IDEXUSDT,0.04,-3.41,-3.34,1.56,23
TOMIUSDT,MATICUSDT,0.03,-3.48,-3.34,1.03,23
TIAUSDT,BNTUSDT,0.0,-4.82,-3.34,26.97,23
XRPUSDT,RDNTUSDT,0.0,-4.65,-3.34,3.06,23
POWRUSDT,AVAXUSDT,0.0,-4.63,-3.34,0.0,23
PERPUSDT,AGLDUSDT,0.0,-4.43,-3.34,0.97,23
10000STARLUSDT,COREUSDT,0.0,-5.8,-3.34,0.02,23
STGUSDT,GFTUSDT,0.04,-3.4,-3.34,8.73,23
TIAUSDT,BATUSDT,0.0,-4.93,-3.34,11.52,23
USDCUSDT,BLURUSDT,0.02,-3.75,-3.34,1.39,23
ZECUSDT,COREUSDT,0.04,-3.43,-3.34,67.59,23
WAVESUSDT,DARUSDT,0.0,-4.35,-3.34,25.85,23
TRXUSDT,NKNUSDT,0.05,-3.36,-3.34,0.86,23
WSMUSDT,GFTUSDT,0.0,-4.3,-3.34,0.37,23
TIAUSDT,COTIUSDT,0.0,-5.01,-3.34,36.57,23
PERPUSDT,EOSUSDT,0.01,-3.89,-3.34,0.14,23
SFPUSDT,FXSUSDT,0.01,-3.96,-3.34,0.07,23
WSMUSDT,AGLDUSDT,0.02,-3.7,-3.34,0.04,23
USDCUSDT,IDEXUSDT,0.01,-3.94,-3.34,16.35,23
PERPUSDT,CTSIUSDT,0.01,-3.96,-3.34,1.95,22
10000STARLUSDT,1000BTTUSDT,0.0,-4.92,-3.34,20.32,22
10000STARLUSDT,BIGTIMEUSDT,0.0,-5.0,-3.34,0.05,22
RIFUSDT,EGLDUSDT,0.02,-3.6,-3.34,0.0,22
STRAXUSDT,POWRUSDT,0.01,-4.07,-3.34,2.74,22
PERPUSDT,HFTUSDT,0.01,-3.87,-3.34,1.08,22
WAVESUSDT,OCEANUSDT,0.02,-3.61,-3.34,30.45,22
MAGICUSDT,10000LADYSUSDT,0.0,-6.31,-3.34,5538.27,22
TRXUSDT,GALAUSDT,0.01,-3.86,-3.34,0.21,22
RPLUSDT,FLRUSDT,0.04,-3.43,-3.34,1445.81,22
SOLUSDT,AUCTIONUSDT,0.0,-4.22,-3.34,36.97,22
GMXUSDT,10000NFTUSDT,0.01,-4.1,-3.34,2295.43,22
WAVESUSDT,MATICUSDT,0.0,-4.69,-3.34,8.77,22
XTZUSDT,JSTUSDT,0.02,-3.72,-3.34,35.0,22
10000STARLUSDT,FXSUSDT,0.0,-5.53,-3.34,0.0,21
PERPUSDT,FETUSDT,0.0,-4.4,-3.34,1.59,21
WAVESUSDT,MTLUSDT,0.03,-3.51,-3.34,8.67,21
TIAUSDT,BIGTIMEUSDT,0.0,-4.84,-3.34,18.6,21
USDCUSDT,BTCUSDT,0.01,-3.82,-3.34,0.0,21
GMXUSDT,10000LADYSUSDT,0.01,-3.83,-3.34,75135.61,21
WAXPUSDT,1000BONKUSDT,0.01,-3.89,-3.34,59.26,21
POWRUSDT,PROMUSDT,0.0,-4.43,-3.34,0.08,21
PERPUSDT,ETHWUSDT,0.01,-3.8,-3.34,0.09,21
STRAXUSDT,HIGHUSDT,0.02,-3.65,-3.34,0.36,21
TIAUSDT,APTUSDT,0.0,-4.82,-3.34,2.2,21
PROMUSDT,MNTUSDT,0.01,-4.02,-3.34,8.7,21
XEMUSDT,QTUMUSDT,0.0,-5.51,-3.34,0.01,21
TRXUSDT,CKBUSDT,0.03,-3.52,-3.34,8.33,21
PROMUSDT,LPTUSDT,0.04,-3.44,-3.34,0.1,21
10000STARLUSDT,MINAUSDT,0.0,-5.98,-3.34,0.02,21
USDCUSDT,CELRUSDT,0.0,-4.4,-3.34,9.41,21
STRAXUSDT,GRTUSDT,0.02,-3.68,-3.34,1.67,21
YGGUSDT,IDEXUSDT,0.01,-3.99,-3.34,86.16,21
RENUSDT,COMPUSDT,0.02,-3.73,-3.34,0.0,21
STRAXUSDT,ACHUSDT,0.0,-4.24,-3.34,37.31,21
ZRXUSDT,COMPUSDT,0.0,-4.26,-3.34,0.0,21
10000STARLUSDT,LOOKSUSDT,0.0,-6.27,-3.34,0.01,21
UMAUSDT,AVAXUSDT,0.02,-3.6,-3.34,0.02,21
TIAUSDT,KLAYUSDT,0.0,-4.92,-3.34,9.86,21
STPTUSDT,ROSEUSDT,0.01,-3.84,-3.34,0.2,21
POWRUSDT,ENSUSDT,0.0,-4.45,-3.34,0.01,21
OXTUSDT,PROMUSDT,0.0,-5.25,-3.34,0.02,21
RENUSDT,FLOWUSDT,0.03,-3.51,-3.34,0.07,21
USDCUSDT,NEARUSDT,0.04,-3.4,-3.34,0.1,21
ARKUSDT,10000LADYSUSDT,0.0,-4.33,-3.34,767.01,21
USDCUSDT,DYDXUSDT,0.0,-4.35,-3.34,0.06,21
WAVESUSDT,ICXUSDT,0.0,-4.13,-3.34,27.69,21
USDCUSDT,DASHUSDT,0.02,-3.64,-3.34,0.01,21
PERPUSDT,IOTXUSDT,0.01,-3.96,-3.34,4.57,21
10000STARLUSDT,DGBUSDT,0.0,-5.79,-3.34,1.77,21
WAVESUSDT,BCHUSDT,0.0,-4.19,-3.34,0.04,20
WAVESUSDT,LINKUSDT,0.0,-5.13,-3.34,1.33,20
THETAUSDT,FTMUSDT,0.03,-3.5,-3.34,2.84,20
USDCUSDT,10000NFTUSDT,0.04,-3.47,-3.34,54.21,20
PERPUSDT,ALICEUSDT,0.0,-4.22,-3.34,0.04,20
PERPUSDT,BSVUSDT,0.01,-4.02,-3.34,0.01,20
USDCUSDT,JSTUSDT,0.02,-3.75,-3.34,16.0,20
10000STARLUSDT,OCEANUSDT,0.0,-4.91,-3.34,0.07,20
XMRUSDT,VRAUSDT,0.04,-3.45,-3.34,25978.25,20
USDCUSDT,KSMUSDT,0.04,-3.44,-3.34,0.0,20
PERPUSDT,ASTRUSDT,0.0,-4.11,-3.34,3.82,20
USDCUSDT,APEUSDT,0.05,-3.35,-3.34,0.08,20
POWRUSDT,LDOUSDT,0.03,-3.59,-3.34,0.16,20
POWRUSDT,CAKEUSDT,0.03,-3.54,-3.34,0.13,20
TIAUSDT,1000PEPEUSDT,0.0,-4.82,-3.34,8034.52,19
USDCUSDT,FILUSDT,0.02,-3.76,-3.34,0.01,19
POWRUSDT,HNTUSDT,0.03,-3.53,-3.34,0.01,19
10000STARLUSDT,1000XECUSDT,0.0,-6.07,-3.34,0.62,19
ALGOUSDT,10000LADYSUSDT,0.01,-4.04,-3.34,3281.16,19
SNTUSDT,AUDIOUSDT,0.05,-3.36,-3.34,0.03,19
STRAXUSDT,1000BONKUSDT,0.03,-3.59,-3.34,902.77,19
POWRUSDT,GFTUSDT,0.02,-3.67,-3.34,4.65,19
RNDRUSDT,QNTUSDT,0.03,-3.59,-3.34,0.03,19
USDCUSDT,ETHWUSDT,0.04,-3.44,-3.34,0.14,19
BONDUSDT,10000LADYSUSDT,0.01,-3.85,-3.34,7105.72,19
TIAUSDT,OCEANUSDT,0.0,-4.92,-3.34,24.19,19
USDCUSDT,IOTAUSDT,0.04,-3.42,-3.34,1.04,19
POWRUSDT,LTCUSDT,0.01,-3.96,-3.34,0.0,19
10000STARLUSDT,FILUSDT,0.0,-4.94,-3.34,0.0,19
QTUMUSDT,APTUSDT,0.04,-3.39,-3.34,1.72,19
10000STARLUSDT,DARUSDT,0.0,-6.88,-3.34,0.07,19
PERPUSDT,BAKEUSDT,0.01,-4.03,-3.34,0.94,19
POWRUSDT,QTUMUSDT,0.01,-3.98,-3.34,0.03,19
10000STARLUSDT,KNCUSDT,0.0,-5.29,-3.34,0.01,19
10000STARLUSDT,ASTRUSDT,0.0,-5.7,-3.34,0.24,19
10000STARLUSDT,GLMRUSDT,0.0,-5.49,-3.34,0.01,19
10000STARLUSDT,CVXUSDT,0.0,-5.99,-3.34,0.0,19
XVSUSDT,COMPUSDT,0.05,-3.38,-3.34,0.01,19
PROMUSDT,FILUSDT,0.0,-4.53,-3.34,0.06,19
10000STARLUSDT,GRTUSDT,0.0,-5.21,-3.34,0.07,19
10000STARLUSDT,LINAUSDT,0.0,-7.85,-3.34,2.7,19
TRXUSDT,PEOPLEUSDT,0.04,-3.39,-3.34,1.21,19
WAVESUSDT,ATAUSDT,0.0,-4.81,-3.34,212.86,19
PERPUSDT,10000LADYSUSDT,0.0,-4.83,-3.34,1161.82,19
TRXUSDT,PHBUSDT,0.01,-4.03,-3.34,0.14,19
WSMUSDT,DODOUSDT,0.01,-3.88,-3.34,0.11,19
PERPUSDT,NEARUSDT,0.01,-4.06,-3.34,0.06,19
POWRUSDT,AAVEUSDT,0.01,-4.08,-3.34,0.0,19
TIAUSDT,ENJUSDT,0.0,-4.81,-3.34,4.33,19
TRXUSDT,POLYXUSDT,0.02,-3.76,-3.34,0.45,19
10000LADYSUSDT,MULTIUSDT,0.01,-4.09,-3.34,0.0,19
WAVESUSDT,BELUSDT,0.02,-3.72,-3.34,19.73,19
STRAXUSDT,LRCUSDT,0.0,-4.34,-3.34,0.4,19
PERPUSDT,ACHUSDT,0.0,-4.37,-3.34,26.04,19
PERPUSDT,LRCUSDT,0.01,-3.93,-3.34,0.28,19
STRAXUSDT,IOSTUSDT,0.0,-4.44,-3.34,21.16,19
PERPUSDT,HOTUSDT,0.0,-4.24,-3.34,145.66,19
TIAUSDT,MEMEUSDT,0.0,-5.07,-3.34,458.02,19
TIAUSDT,GFTUSDT,0.0,-4.85,-3.34,182.69,19
XLMUSDT,BANDUSDT,0.05,-3.38,-3.34,0.09,19
WSMUSDT,LINAUSDT,0.01,-3.82,-3.34,1.7,19
PERPUSDT,CTKUSDT,0.01,-4.1,-3.34,0.41,19
TIAUSDT,KASUSDT,0.0,-4.82,-3.34,287.04,19
USDCUSDT,LTCUSDT,0.0,-4.31,-3.34,0.01,19
USDCUSDT,PENDLEUSDT,0.0,-4.56,-3.34,1.42,19
PERPUSDT,IOTAUSDT,0.0,-4.36,-3.34,0.66,19
PENDLEUSDT,DGBUSDT,0.03,-3.54,-3.34,32.79,19
10000LADYSUSDT,PAXGUSDT,0.0,-4.26,-3.34,0.0,19
STRAXUSDT,HFTUSDT,0.01,-3.98,-3.34,1.64,19
USDCUSDT,QNTUSDT,0.02,-3.64,-3.34,0.01,18
WAVESUSDT,CFXUSDT,0.0,-4.38,-3.34,49.73,18
10000STARLUSDT,GALAUSDT,0.0,-5.74,-3.34,0.08,18
WSMUSDT,IOTAUSDT,0.04,-3.43,-3.34,0.03,18
TIAUSDT,NEARUSDT,0.0,-4.82,-3.34,1.23,18
10000STARLUSDT,GMTUSDT,0.0,-5.31,-3.34,0.01,18
PERPUSDT,DENTUSDT,0.0,-4.92,-3.34,220.05,18
PERPUSDT,DUSKUSDT,0.01,-3.87,-3.34,0.94,18
PERPUSDT,EGLDUSDT,0.0,-4.11,-3.34,0.0,18
STEEMUSDT,GASUSDT,0.0,-5.21,-3.34,0.03,18
STEEMUSDT,YFIUSDT,0.03,-3.59,-3.34,0.0,18
PERPUSDT,FTMUSDT,0.0,-4.53,-3.34,0.27,18
PERPUSDT,ADAUSDT,0.01,-3.94,-3.34,0.36,18
OXTUSDT,TRBUSDT,0.02,-3.66,-3.34,0.0,18
RDNTUSDT,1000XECUSDT,0.03,-3.53,-3.34,5.32,17
POWRUSDT,ACHUSDT,0.01,-4.0,-3.34,12.39,17
PERPUSDT,MTLUSDT,0.0,-4.51,-3.34,0.34,17
TUSDT,POWRUSDT,0.02,-3.67,-3.34,0.09,17
PERPUSDT,ALPHAUSDT,0.01,-4.08,-3.34,1.99,17
10000STARLUSDT,CTSIUSDT,0.0,-5.36,-3.34,0.12,17
SWEATUSDT,OGUSDT,0.0,-4.43,-3.34,0.0,17
POWRUSDT,1000BONKUSDT,0.04,-3.43,-3.34,303.99,17
10000STARLUSDT,BALUSDT,0.0,-5.74,-3.34,0.0,17
TIAUSDT,HIFIUSDT,0.0,-4.88,-3.34,14.76,17
USDCUSDT,API3USDT,0.01,-3.97,-3.34,0.21,17
TIAUSDT,ICPUSDT,0.0,-4.95,-3.34,0.26,17
XRPUSDT,CVXUSDT,0.01,-3.79,-3.34,0.07,17
USDCUSDT,BSVUSDT,0.0,-4.22,-3.34,0.01,17
POWRUSDT,COREUSDT,0.01,-3.89,-3.34,0.13,17
STRAXUSDT,FXSUSDT,0.0,-4.14,-3.34,0.04,17
TIAUSDT,DODOUSDT,0.0,-4.82,-3.34,55.23,17
USDCUSDT,COMBOUSDT,0.02,-3.63,-3.34,1.31,17
TUSDT,KDAUSDT,0.03,-3.52,-3.34,0.01,17
STRAXUSDT,BSVUSDT,0.0,-4.47,-3.34,0.01,17
TIAUSDT,LEVERUSDT,0.0,-5.04,-3.34,9906.69,17
STRAXUSDT,1INCHUSDT,0.02,-3.64,-3.34,0.42,17
TRXUSDT,10000LADYSUSDT,0.03,-3.57,-3.34,168.75,17
TIAUSDT,ALPHAUSDT,0.0,-4.87,-3.34,36.0,17
TRXUSDT,10000STARLUSDT,0.02,-3.66,-3.34,2.38,17
FORTHUSDT,10000LADYSUSDT,0.0,-4.91,-3.34,5064.9,17
XVSUSDT,LRCUSDT,0.0,-4.14,-3.34,2.27,17
RNDRUSDT,FXSUSDT,0.04,-3.45,-3.34,0.18,17
STRAXUSDT,1000LUNCUSDT,0.01,-3.78,-3.34,3.53,17
SFPUSDT,RDNTUSDT,0.02,-3.74,-3.34,4.35,17
STRAXUSDT,ADAUSDT,0.01,-4.01,-3.34,0.53,17
STRAXUSDT,AMBUSDT,0.01,-4.05,-3.34,128.53,17
XVSUSDT,PROMUSDT,0.0,-4.41,-3.34,1.33,17
RPLUSDT,POLYXUSDT,0.04,-3.38,-3.34,212.67,17
TIAUSDT,MANAUSDT,0.0,-4.88,-3.34,3.49,17
STRAXUSDT,MINAUSDT,0.0,-4.12,-3.34,0.49,17
STRAXUSDT,IOTXUSDT,0.02,-3.61,-3.34,6.71,17
USDCUSDT,BADGERUSDT,0.0,-4.25,-3.34,0.46,16
10000NFTUSDT,JSTUSDT,0.02,-3.76,-3.34,0.29,16
SOLUSDT,ONTUSDT,0.05,-3.35,-3.34,764.87,16
STEEMUSDT,FLMUSDT,0.02,-3.62,-3.34,1.83,16
USDCUSDT,DUSKUSDT,0.01,-3.87,-3.34,1.52,16
USDCUSDT,CELOUSDT,0.03,-3.51,-3.34,0.29,16
POWRUSDT,DYDXUSDT,0.0,-4.32,-3.34,0.02,15
PROMUSDT,KNCUSDT,0.0,-4.27,-3.34,1.71,15
10000STARLUSDT,BOBAUSDT,0.0,-6.03,-3.34,0.04,15
POWRUSDT,NTRNUSDT,0.0,-5.15,-3.34,0.5,15
STRAXUSDT,EDUUSDT,0.03,-3.49,-3.34,1.0,15
TIAUSDT,HOOKUSDT,0.0,-4.8,-3.34,5.91,15
TIAUSDT,CAKEUSDT,0.0,-4.88,-3.34,4.88,15
TIAUSDT,IDEXUSDT,0.0,-4.82,-3.34,212.84,15
PROMUSDT,1INCHUSDT,0.04,-3.47,-3.34,1.85,15
PROMUSDT,DASHUSDT,0.02,-3.63,-3.34,0.02,15
PERPUSDT,AVAXUSDT,0.01,-3.91,-3.34,0.01,15
TIAUSDT,IOTXUSDT,0.0,-4.82,-3.34,91.56,15
PERPUSDT,KNCUSDT,0.01,-3.92,-3.34,0.25,15
XLMUSDT,JASMYUSDT,0.01,-3.84,-3.34,9.46,15
BIGTIMEUSDT,10000LADYSUSDT,0.0,-4.31,-3.34,556.32,15
SANDUSDT,ORDIUSDT,0.04,-3.43,-3.34,0.48,15
XTZUSDT,CYBERUSDT,0.05,-3.35,-3.34,0.39,15
PERPUSDT,LTCUSDT,0.01,-3.97,-3.34,0.01,15
PERPUSDT,COMPUSDT,0.01,-4.0,-3.34,0.0,15
PERPUSDT,MASKUSDT,0.01,-4.0,-3.34,0.06,15
STRAXUSDT,CEEKUSDT,0.0,-4.69,-3.34,4.66,15
TRXUSDT,MINAUSDT,0.03,-3.51,-3.34,0.05,15
TRXUSDT,LUNA2USDT,0.05,-3.36,-3.34,0.03,15
TIAUSDT,LPTUSDT,0.0,-4.82,-3.34,0.31,15
TIAUSDT,LRCUSDT,0.0,-4.91,-3.34,5.19,15
TRXUSDT,IMXUSDT,0.04,-3.38,-3.34,0.02,15
USDCUSDT,RDNTUSDT,0.02,-3.64,-3.34,3.04,15
POWRUSDT,OGNUSDT,0.01,-3.77,-3.34,2.71,15
TRXUSDT,BALUSDT,0.04,-3.42,-3.34,0.01,15
TIAUSDT,OGUSDT,0.0,-4.83,-3.34,2.28,15
POWRUSDT,GLMRUSDT,0.03,-3.5,-3.34,0.1,15
WAXPUSDT,ACHUSDT,0.0,-4.45,-3.34,2.44,15
STRAXUSDT,PENDLEUSDT,0.02,-3.66,-3.34,1.35,15
USDCUSDT,HFTUSDT,0.01,-3.97,-3.34,1.72,15
TRBUSDT,LRCUSDT,0.01,-3.99,-3.34,8.46,15
POWRUSDT,HOTUSDT,0.0,-4.17,-3.34,69.54,15
POWRUSDT,LRCUSDT,0.0,-4.9,-3.34,0.13,15
TIAUSDT,BALUSDT,0.0,-4.85,-3.34,1.04,15
TIAUSDT,BANDUSDT,0.0,-4.82,-3.34,3.25,15
STRAXUSDT,LITUSDT,0.01,-3.91,-3.34,0.32,15
TRXUSDT,HIGHUSDT,0.01,-3.85,-3.34,0.04,15
PENDLEUSDT,ASTRUSDT,0.05,-3.35,-3.34,4.43,15
PERPUSDT,CVCUSDT,0.0,-4.26,-3.34,1.91,15
10000STARLUSDT,GPTUSDT,0.0,-5.75,-3.34,0.58,15
XLMUSDT,TOKENUSDT,0.04,-3.38,-3.34,9.99,15
PERPUSDT,CFXUSDT,0.0,-4.14,-3.34,1.91,14
THETAUSDT,JSTUSDT,0.0,-4.76,-3.34,103.32,14
WAVESUSDT,NEOUSDT,0.0,-4.82,-3.34,0.74,14
WAVESUSDT,BATUSDT,0.0,-4.54,-3.34,13.43,14
TOMIUSDT,APTUSDT,0.05,-3.36,-3.34,0.37,14
PERPUSDT,JOEUSDT,0.02,-3.59,-3.34,1.32,14
XLMUSDT,CHZUSDT,0.01,-4.0,-3.34,0.86,14
USDCUSDT,KASUSDT,0.04,-3.41,-3.34,22.43,14
PERPUSDT,BIGTIMEUSDT,0.01,-4.03,-3.34,0.87,14
USDCUSDT,FLRUSDT,0.0,-4.25,-3.34,32.25,14
POWRUSDT,DUSKUSDT,0.03,-3.56,-3.34,0.47,14
WAVESUSDT,EOSUSDT,0.0,-4.48,-3.34,3.85,14
WAVESUSDT,HOTUSDT,0.01,-3.82,-3.34,3370.45,13
SNTUSDT,1000BONKUSDT,0.04,-3.46,-3.34,43.14,13
WAVESUSDT,KASUSDT,0.01,-3.91,-3.34,384.36,13
PERPUSDT,HIGHUSDT,0.02,-3.75,-3.34,0.25,13
PERPUSDT,FILUSDT,0.01,-3.92,-3.34,0.01,13
PENDLEUSDT,BTCUSDT,0.03,-3.5,-3.34,0.0,13
RUNEUSDT,ASTRUSDT,0.0,-4.97,-3.34,65.88,13
PERPUSDT,DODOUSDT,0.0,-4.56,-3.34,2.87,13
10000STARLUSDT,AXSUSDT,0.0,-4.96,-3.34,0.0,13
TRXUSDT,DGBUSDT,0.04,-3.39,-3.34,4.26,13
RDNTUSDT,ACHUSDT,0.01,-4.05,-3.34,13.76,13
RPLUSDT,HOTUSDT,0.03,-3.53,-3.34,9984.95,13
RPLUSDT,HBARUSDT,0.05,-3.35,-3.34,128.48,13
USDCUSDT,JOEUSDT,0.01,-4.09,-3.34,2.07,13
USDCUSDT,HOTUSDT,0.0,-4.28,-3.34,228.17,13
USDCUSDT,KNCUSDT,0.0,-4.13,-3.34,0.41,13
USDCUSDT,HBARUSDT,0.02,-3.73,-3.34,2.88,13
XLMUSDT,WLDUSDT,0.04,-3.44,-3.34,0.21,13
USDCUSDT,GLMRUSDT,0.0,-4.61,-3.34,0.33,13
POWRUSDT,ICPUSDT,0.03,-3.51,-3.34,0.01,13
POWRUSDT,IMXUSDT,0.01,-3.85,-3.34,0.06,13
USDCUSDT,EDUUSDT,0.01,-3.96,-3.34,1.06,13
USDCUSDT,LPTUSDT,0.0,-4.26,-3.34,0.03,13
POWRUSDT,KDAUSDT,0.0,-4.82,-3.34,0.06,13
10000STARLUSDT,BTCUSDT,0.0,-5.63,-3.34,0.0,13
POWRUSDT,COTIUSDT,0.03,-3.57,-3.34,0.98,13
USDCUSDT,C98USDT,0.01,-4.1,-3.34,0.32,13
POWRUSDT,CELOUSDT,0.04,-3.44,-3.34,0.09,13
POWRUSDT,ASTRUSDT,0.0,-4.22,-3.34,1.7,13
VGXUSDT,AGLDUSDT,0.03,-3.48,-3.34,0.2,13
POWRUSDT,RDNTUSDT,0.02,-3.74,-3.34,0.98,13
USDCUSDT,ACHUSDT,0.01,-3.88,-3.34,40.57,13
PROMUSDT,HFTUSDT,0.03,-3.52,-3.34,7.09,13
PERPUSDT,CEEKUSDT,0.01,-4.09,-3.34,3.13,13
PERPUSDT,ARPAUSDT,0.0,-4.48,-3.34,13.62,13
PERPUSDT,MNTUSDT,0.01,-3.91,-3.34,1.3,13
PERPUSDT,1000XECUSDT,0.0,-4.19,-3.34,10.14,13
TRXUSDT,IOTXUSDT,0.01,-3.87,-3.34,0.68,13
SSVUSDT,AKROUSDT,0.05,-3.35,-3.34,6476.66,13
WAXPUSDT,IOTXUSDT,0.0,-4.43,-3.34,0.44,13
STRAXUSDT,COMBOUSDT,0.0,-4.57,-3.34,1.23,13
STRAXUSDT,BALUSDT,0.0,-5.3,-3.34,0.08,13
TIAUSDT,ENSUSDT,0.0,-4.97,-3.34,0.25,13
TIAUSDT,DUSKUSDT,0.0,-4.82,-3.34,19.37,13
ARKUSDT,10000NFTUSDT,0.0,-4.32,-3.34,24.67,13
TIAUSDT,FTMUSDT,0.0,-4.83,-3.34,5.46,13
SUIUSDT,STRAXUSDT,0.01,-3.95,-3.34,0.83,13
STRAXUSDT,IOTAUSDT,0.05,-3.35,-3.34,0.99,13
TIAUSDT,LINAUSDT,0.0,-4.82,-3.34,830.77,13
STRAXUSDT,GPTUSDT,0.0,-4.64,-3.34,12.94,13
STRAXUSDT,BAKEUSDT,0.01,-3.98,-3.34,1.3,13
TIAUSDT,HFTUSDT,0.0,-4.9,-3.34,21.16,13
SWEATUSDT,LUNA2USDT,0.02,-3.59,-3.34,0.0,13
STRAXUSDT,DYDXUSDT,0.0,-4.86,-3.34,0.06,13
TIAUSDT,JOEUSDT,0.0,-4.84,-3.34,25.79,13
TIAUSDT,10000NFTUSDT,0.0,-4.82,-3.34,691.8,13
TIAUSDT,FLRUSDT,0.0,-4.82,-3.34,412.82,13
TIAUSDT,KSMUSDT,0.0,-4.87,-3.34,0.03,13
TIAUSDT,ANTUSDT,0.0,-4.84,-3.34,1.64,13
10000STARLUSDT,HOTUSDT,0.0,-5.68,-3.34,8.89,13
TIAUSDT,AMBUSDT,0.0,-4.89,-3.34,1675.37,13
TIAUSDT,AGLDUSDT,0.0,-4.81,-3.34,19.27,13
STRAXUSDT,COMPUSDT,0.04,-3.43,-3.34,0.0,13
POWRUSDT,MANAUSDT,0.05,-3.37,-3.34,0.09,12
VGXUSDT,APTUSDT,0.02,-3.6,-3.34,0.02,12
WAVESUSDT,KSMUSDT,0.0,-4.34,-3.34,0.04,12
WAVESUSDT,ANTUSDT,0.01,-3.96,-3.34,1.89,12
WAVESUSDT,KNCUSDT,0.01,-3.98,-3.34,7.61,12
WAVESUSDT,MNTUSDT,0.0,-4.47,-3.34,37.35,12
WLDUSDT,LOOKSUSDT,0.02,-3.71,-3.34,0.63,12
WAVESUSDT,EGLDUSDT,0.01,-3.77,-3.34,0.05,12
WAVESUSDT,FILUSDT,0.01,-3.85,-3.34,0.27,12
WLDUSDT,FTMUSDT,0.02,-3.6,-3.34,0.66,12
USDCUSDT,EOSUSDT,0.02,-3.62,-3.34,0.22,11
RIFUSDT,MASKUSDT,0.04,-3.45,-3.34,0.01,11
STRAXUSDT,KDAUSDT,0.01,-3.91,-3.34,0.17,11
TUSDT,PROMUSDT,0.02,-3.59,-3.34,0.01,11
RDNTUSDT,AGLDUSDT,0.01,-3.85,-3.34,0.51,11
RDNTUSDT,DODOUSDT,0.0,-4.24,-3.34,1.51,11
TIAUSDT,HBARUSDT,0.0,-4.84,-3.34,36.09,11
TIAUSDT,ARKMUSDT,0.0,-4.91,-3.34,30.8,11
USDCUSDT,ASTRUSDT,0.0,-4.44,-3.34,5.93,11
TIAUSDT,JASMYUSDT,0.0,-4.81,-3.34,344.12,11
STRAXUSDT,MASKUSDT,0.03,-3.56,-3.34,0.09,11
UNIUSDT,CAKEUSDT,0.03,-3.53,-3.34,5.33,11
QNTUSDT,ADAUSDT,0.02,-3.69,-3.34,71.87,11
STEEMUSDT,10000LADYSUSDT,0.03,-3.5,-3.34,440.54,11
TIAUSDT,FETUSDT,0.0,-4.85,-3.34,31.75,11
TIAUSDT,ETHWUSDT,0.0,-4.81,-3.34,1.79,11
WAXPUSDT,IOTAUSDT,0.01,-3.81,-3.34,0.06,11
WAXPUSDT,HOOKUSDT,0.03,-3.57,-3.34,0.03,11
WAXPUSDT,MINAUSDT,0.02,-3.6,-3.34,0.03,11
TIAUSDT,APEUSDT,0.0,-4.82,-3.34,0.98,11
WAXPUSDT,AMBUSDT,0.01,-3.89,-3.34,8.36,11
PERPUSDT,DGBUSDT,0.0,-4.43,-3.34,28.87,11
PERPUSDT,FXSUSDT,0.0,-4.16,-3.34,0.03,11
WAVESUSDT,INJUSDT,0.0,-4.13,-3.34,9.45,11
PERPUSDT,MAVUSDT,0.0,-4.54,-3.34,2.03,11
PERPUSDT,MINAUSDT,0.01,-3.93,-3.34,0.35,11
THETAUSDT,GLMRUSDT,0.05,-3.35,-3.34,2.26,11
XEMUSDT,HOTUSDT,0.03,-3.54,-3.34,30.04,11
WAVESUSDT,ARUSDT,0.0,-4.3,-3.34,0.35,11
PERPUSDT,NTRNUSDT,0.01,-3.92,-3.34,0.84,11
TIAUSDT,CTKUSDT,0.0,-4.91,-3.34,8.0,11
POWRUSDT,ALPHAUSDT,0.0,-4.11,-3.34,0.92,11
